ID,timestamp_ms,year,month,day,hour,min,sec,lat_E7,lon_E7,alt_cm,lat_err_cm,lon_err_cm,alt_err_cm,volt_avg,volt_std,amp_avg,amp_std,ldr_avg,ldr_std,pres_avg_hpa,pres_std,acx_avg,acx_std,acy_avg,acy_std,acz_avg,acz_std,gyx_avg,gyx_std,gyy_avg,gyy_std,gyz_avg,gyz_std,mgx_avg,mgx_std,mgy_avg,mgy_std,mgz_avg,mgz_std
FTLN,2684,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,747,1,509,0,75,2,1086,0,60,69,-358,47,-4277,107,9,41,1,32,-67,10,-48,3,186,4,-113,3
FTLN,3684,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,745,0,509,0,71,0,1086,0,85,53,-381,38,-4245,112,-9,44,-3,30,-44,10,-43,4,195,5,-112,5
FTLN,4824,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,746,0,509,0,65,1,1086,0,41,104,-365,42,-4253,74,-1,26,-8,44,-103,15,-37,5,205,7,-109,4
FTLN,5824,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,748,2,509,0,64,0,1086,0,111,139,-391,38,-4202,143,19,35,-10,83,-39,39,-24,5,210,6,-111,5
FTLN,6824,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,752,0,509,0,65,1,1086,0,75,127,-371,66,-4224,197,-16,83,-25,103,-37,34,-22,8,213,4,-110,7
FTLN,7824,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,749,1,509,0,65,0,1086,0,378,616,-368,475,-4185,642,-18,236,-29,374,-70,88,-14,7,206,14,-115,7
FTLN,8832,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,752,0,509,0,59,2,1086,0,-194,141,-531,209,-4147,230,25,86,-22,81,-88,34,-4,7,240,7,-101,4
FTLN,9832,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,753,0,509,0,57,0,1086,0,-285,171,-441,122,-4197,210,-11,44,-20,71,-113,49,7,8,253,5,-95,4
FTLN,10832,200,1,1,10,16,40,-500,-500,-500,3008,3008,3008,752,0,509,0,59,0,1086,0,-205,85,-491,101,-4204,114,3,44,-11,68,53,29,16,4,248,4,-99,3
FTLN,11832,200,1,1,10,16,41,-500,-500,-500,3008,3008,3008,752,0,509,0,56,1,1086,0,-388,208,-460,120,-4194,248,0,66,-12,92,-49,68,5,5,254,5,-92,6
FTLN,12832,200,1,1,10,16,42,-500,-500,-500,3008,3008,3008,753,0,509,0,56,0,1086,0,-312,143,-402,94,-4232,136,6,65,78,145,-10,68,14,5,258,8,-90,5
