ID,timestamp_ms,year,month,day,hour,min,sec,lat_E7,lon_E7,alt_cm,lat_err_cm,lon_err_cm,alt_err_cm,volt_avg,volt_std,amp_avg,amp_std,ldr_avg,ldr_std,pres_avg_hpa,pres_std,acx_avg,acx_std,acy_avg,acy_std,acz_avg,acz_std,gyx_avg,gyx_std,gyy_avg,gyy_std,gyz_avg,gyz_std,mgx_avg,mgx_std,mgy_avg,mgy_std,mgz_avg,mgz_std
FTLN,2668,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,745,0,509,0,112,3,1087,0,-488,315,268,389,-4198,148,-123,99,-56,252,-173,165,-96,5,214,7,-91,5
FTLN,3668,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,745,0,509,0,113,2,1087,0,-451,412,268,534,-3954,258,179,202,48,211,-65,167,-78,18,246,6,-88,11
FTLN,4808,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,744,0,509,0,108,1,1087,0,-463,199,-460,236,-4290,372,101,144,9,117,28,87,-44,5,238,6,-112,5
FTLN,5808,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,745,0,509,0,107,1,1087,0,-505,263,-668,104,-4070,271,-17,70,-7,132,-3,50,-27,4,234,6,-118,4
FTLN,6808,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,744,0,509,0,110,4,1087,0,-418,505,-361,330,-4224,758,-58,200,71,394,-34,85,-37,11,240,13,-111,11
FTLN,7808,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,743,0,509,0,116,1,1087,0,-68,69,-426,84,-4258,125,4,51,-1,79,40,35,-41,4,207,5,-124,6
FTLN,8808,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,745,0,509,0,120,0,1087,0,20,69,-413,27,-4225,38,0,26,11,52,-1,12,-46,4,201,6,-126,5
FTLN,9808,200,1,1,7,53,3,-500,-500,-500,3008,3008,3008,744,2,508,0,118,0,1087,0,18,40,-415,21,-4236,34,-1,15,-2,33,-9,8,-43,4,198,4,-126,5
FTLN,10816,200,1,1,7,53,4,-500,-500,-500,3008,3008,3008,726,5,502,1,118,0,1087,0,-36,283,-453,247,-4357,810,2,29,-10,33,-1,4,-43,4,203,4,-123,5
FTLN,11816,200,1,1,7,53,5,-500,-500,-500,3008,3008,3008,688,17,495,2,117,0,1087,0,-48,394,-635,398,-4112,925,11,31,7,43,2,6,-45,4,210,5,-118,3
FTLN,12816,200,1,1,7,53,6,-500,-500,-500,3008,3008,3008,581,44,489,1,118,0,1087,0,29,462,-378,442,-4309,1043,-15,27,12,74,13,11,-47,5,214,4,-115,4
FTLN,13816,200,1,1,7,53,7,-500,-500,-500,3008,3008,3008,484,13,488,0,118,0,1087,0,142,309,-276,321,-4399,1093,0,18,-10,47,18,15,-49,4,210,2,-116,5
FTLN,14816,200,1,1,7,53,8,-500,-500,-500,3008,3008,3008,611,123,497,9,118,0,1087,0,79,294,-403,389,-4435,1055,-6,38,-3,30,-5,11,-52,4,201,10,-116,6
