TimeStamp_ms,Fecha,Latitud [Deg],Longitud [Deg],Altura [cm],Latitud Err [m],Longitud Err [m],Altura Err [m],Voltaje [V],Voltaje std [ ],Corriente [A],Corriente std [ ],Luz [Lx],Luz std [ ],Presion [hPa],Presion std [ ],Potencia [Watt],Aceleración X [m*s-2],Aceleración X std [m*s-2],Aceleración Y [m*s-2],Aceleración Y std [m*s-2],Aceleración Z [m*s-2],Aceleración Z std [m*s-2],Vel Angular X [rad/seg],Vel Angular X std [rad/seg],Vel Angular Y [rad/seg],Vel Angular Y std [rad/seg],Vel Angular Z [rad/seg],Vel Angular Z std [rad/seg],Campo Magnetico X [microT],Campo Magnetico X std [microT],Campo Magnetico Y [microT],Campo Magnetico Y std [microT],Campo Magnetico Z [microT],Campo Magnetico Z std [microT]
38828,22/06/2019 07:53:30,"42,1209225","-8,8494722",-170,"4,5","3,1","9,1","14,421884017106",64,"0,871270576371067",0,"5276,88622096825",2,1087,0,"12,5653631999407","0,0107421875",424,"-0,08203125",547,"-1,0302734375",817,"-0,114503816793891",227,"-0,12977099236641",187,"-0,0916030534351125",32,"0,0778979700854696",6,"0,224908424908424",8,"0,01171398046398",4
39828,22/06/2019 07:53:31,"42,1209107","-8,8494657",390,"3,4","3,3","8,6","12,4956750787161",10,"0,919678263905006",0,"5055,26775494011",0,1087,0,"11,4920007627147","-0,001220703125",343,"-0,0751953125",306,"-1,025390625",771,"2,03012210217171E-015",85,"-0,0687022900763338",63,"0,0916030534351165",118,"0,0808264652014647",4,"0,226665521978021",4,"0,012299679487179",6
40828,22/06/2019 07:53:32,"42,1209092","-8,8494625",620,"2,6","3,1","6,7","12,6668936510174",11,"0,919678263905006",0,"5186,06244722192",2,1087,0,"11,649466762037","0,00439453125",425,"-0,0703125",420,"-1,121337890625",817,"-0,0152671755725171",40,"0,0229007633587807",34,"2,48091603053435",36,"0,0667696886446882",11,"0,223151327838827",6,"0,01171398046398",3
41828,22/06/2019 07:53:33,"42,1209125","-8,8494605",640,"2,2","2,8","6,1","12,6240890079421",9,"0,968085951438944",0,"5619,99637669145",1,1087,0,"12,2212032183035","-0,059326171875",410,"-0,133544921875",420,"-1,0712890625",845,"0,129770992366414",24,"0,267175572519086",25,"2,30534351145038",16,"0,0445131257631253",9,"0,200309065934065",14,"0,00937118437118391",4
42828,22/06/2019 07:53:34,"42,1209135","-8,8494618",690,"1,9","2,3","5,2","12,6026866864044",16,"0,919678263905006",0,"5725,93351247741",0,1087,0,"11,5904170122911","-0,026123046875",504,"-0,100830078125",360,"-1,13427734375",1261,"0,145038167938933",25,"0,312977099236643",17,"1,94656488549619",24,"0,0333848443223439",4,"0,169267017704517",14,"0,00878548534798489",5
43836,22/06/2019 07:53:35,"42,1209142","-8,8494585",770,"1,7",2,"4,8","12,5598820433291",12,"0,919678263905006",0,"5672,49510296786",0,1087,0,"11,5510505124605","-0,037353515625",435,"-0,135986328125",362,"-1,013916015625",1237,"0,0610687022900784",33,"0,37404580152672",45,"1,14503816793893",48,"0,0281135531135527",4,"0,141153464590964",17,"0,00819978632478587",3
44836,22/06/2019 07:53:36,"42,1209155","-8,8494562",790,"1,6","1,8","4,5","12,5598820433291",6,"0,919678263905006",0,"5672,49510296786",0,1087,0,"11,5510505124605","0,011474609375",330,"-0,106201171875",279,"-1,008544921875",952,"-0,0381679389312957",43,"2,03012210217171E-015",93,"0,335877862595422",20,"0,0310420482295478",2,"0,130025183150183",3,"0,00761408730158684",6
45836,22/06/2019 07:53:37,"42,1209173","-8,8494557",790,"1,4","1,6","4,2","12,6026866864044",5,"1,01649363897289",0,"5672,49510296786",0,1087,0,"12,8105508506984","0,004638671875",436,"-0,129150390625",273,"-1,136474609375",1193,"-0,00763358778625751",31,"0,0916030534351165",67,"0,37404580152672",13,"0,0310420482295478",3,"0,122996794871794",7,"0,00937118437118391",2
46836,22/06/2019 07:53:38,"42,1209205","-8,8494555",750,"1,4","1,5","3,9","12,5812843648668",8,"1,01649363897289",0,"5725,93351247741",0,1087,0,"12,7887955269961","-0,02587890625",459,"-0,08740234375",319,"-0,95849609375",1365,"2,03012210217171E-015",38,"-0,0458015267175552",60,"0,290076335877865",11,"0,0310420482295478",4,"0,118896901709401",4,"0,00819978632478587",3
47836,22/06/2019 07:53:39,"42,1209233","-8,8494533",750,"1,3","1,4","3,6","12,6026866864044",9,"1,06490132650682",0,"5725,93351247741",0,1087,0,"13,420617769902","0,005615234375",532,"-0,080810546875",362,"-1,024169921875",1757,"-0,0458015267175552",25,"-0,0687022900763338",50,"0,0687022900763379",15,"0,0327991452991448",4,"0,115968406593406",4,"0,00702838827838782",3
48836,22/06/2019 07:53:40,"42,1209267","-8,8494527",740,"1,2","1,3","3,4","12,6026866864044",12,"1,06490132650682",0,"5725,93351247741",0,1087,0,"13,420617769902","-0,0078125",363,"-0,103271484375",250,"-1,040283203125",1191,"2,03012210217171E-015",20,"-0,099236641221372",61,"-0,427480916030532",15,"0,0327991452991448",5,"0,116554105616605",4,"0,00937118437118391",5
49836,22/06/2019 07:53:41,"42,1209307","-8,849452",730,"1,2","1,3","3,3","12,5812843648668",8,"1,06490132650682",0,"5672,49510296786",0,1087,0,"13,3978264093062","0,048583984375",467,"-0,127197265625",386,"-1,21240234375",1278,"-0,00763358778625751",7,"-0,0458015267175552",95,"-0,381679389312975",33,"0,0310420482295478",5,"0,1194826007326",6,"0,00761408730158684",4
50836,22/06/2019 07:53:42,"42,1209353","-8,8494515",720,"1,1","1,2","3,2","12,4742727571784",7,"1,01649363897289",0,"5276,88622096825",15,1087,0,"12,6800189084846","0,064208984375",610,"-0,109619140625",372,"-1,023193359375",1128,"0,145038167938933",29,"0,137404580152674",49,"-0,0610687022900743",31,"0,0298706501831497",3,"0,122996794871794",7,"0,00702838827838782",4
51836,22/06/2019 07:53:43,"42,120937","-8,8494503",730,"1,1","1,2","3,1","17,6750368908313",41,"0,241970638429869",5,"3559,6366549143",9,1087,0,"4,27683996074594","-0,001708984375",237,"-0,06884765625",524,"-1,0361328125",559,"0,0687022900763379",344,"0,0458015267175593",117,"-0,374045801526715",47,"0,0333848443223439",10,"0,115968406593406",8,"-0,0011713980463985",9
52836,22/06/2019 07:53:44,"42,1209365","-8,8494507",720,"1,1","1,2",3,"18,0388763569716",0,"0,0967475758280543",0,"5231,09984436699",7,1087,0,"1,74521755819901","0,008056640625",135,"-0,0986328125",68,"-1,039794921875",260,"-0,0916030534351125",79,"0,167938931297712",121,"-0,656488549618318",30,"0,0281135531135527",4,"0,118896901709401",5,"-0,000585699023199479",3
53836,22/06/2019 07:53:45,"42,1209362","-8,849451",730,"1,1","1,2","2,9","18,0602786785093",0,"0,0967475758280543",0,"5186,06244722192",0,1087,0,"1,74728818092487","0,048828125",93,"-0,105224609375",70,"-1,01953125",155,"0,137404580152674",74,"-0,099236641221372",89,"-0,885496183206105",10,"0,0286992521367517",4,"0,12533959096459",7,"-4,57966997657877E-016",5
54836,22/06/2019 07:53:46,"42,1209358","-8,8494513",730,1,"1,2","2,9","18,0602786785093",0,"0,0967475758280543",0,"5186,06244722192",1,1087,0,"1,74728818092487","0,0166015625",97,"-0,095703125",44,"-1,03369140625",62,"0,0610687022900784",28,"-0,267175572519082",67,"-1,21374045801527",12,"0,0292849511599507",5,"0,138810668498168",11,"-4,57966997657877E-016",5
