ID,timestamp_ms,year,month,day,hour,min,sec,lat_E7,lon_E7,alt_cm,lat_err_cm,lon_err_cm,alt_err_cm,volt_avg,volt_std,amp_avg,amp_std,ldr_avg,ldr_std,pres_avg_hpa,pres_std,acx_avg,acx_std,acy_avg,acy_std,acz_avg,acz_std,gyx_avg,gyx_std,gyy_avg,gyy_std,gyz_avg,gyz_std,mgx_avg,mgx_std,mgy_avg,mgy_std,mgz_avg,mgz_std
FTLN,2768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,513,0,316,2,1087,0,-318,577,272,1109,4381,1132,68,288,19,180,-71,238,201,5,90,9,914,7
FTLN,3768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,515,0,252,78,1086,0,-7,803,2643,1286,2488,1917,1578,827,-145,762,245,715,28,134,83,11,920,36
FTLN,4768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,513,1,128,9,1086,0,1667,779,2784,850,-1643,789,684,895,357,702,427,460,-214,10,-9,35,687,58
FTLN,5768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,512,0,141,7,1086,0,2933,368,1876,357,-1933,535,71,532,-64,299,-215,392,-184,9,-82,8,632,11
FTLN,6768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,511,0,107,9,1086,0,-13,1215,2093,843,-3023,795,414,679,-719,876,-368,718,-221,12,77,64,586,38
FTLN,7768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,512,0,121,7,1086,0,-1054,377,932,539,-3330,313,246,323,10,148,-70,192,-187,16,145,4,503,20
FTLN,8768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,512,0,159,9,1086,0,-860,279,-8,228,-3597,273,99,289,100,239,-19,186,-134,9,137,7,444,10
FTLN,9768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,510,0,169,6,1086,0,-620,135,-449,283,-3571,191,169,215,70,158,-7,116,-116,11,120,8,429,7
FTLN,10768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,510,0,98,48,1086,0,-681,150,-457,255,-3530,221,-101,320,-80,189,-14,39,-101,20,116,12,419,8
FTLN,11768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,510,0,42,1,1086,0,-794,28,-259,27,-3525,66,18,17,0,5,-13,2,-117,4,126,3,425,6
FTLN,12768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,510,0,43,1,1086,0,-793,31,-262,23,-3541,27,17,11,0,8,-13,1,-117,3,128,6,427,3
FTLN,13768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,510,0,43,0,1086,0,-795,27,-270,25,-3525,32,17,4,0,4,-13,1,-117,3,127,3,425,3
FTLN,14768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,510,0,41,0,1086,0,-797,15,-264,28,-3520,37,18,5,0,5,-13,1,-117,4,127,3,425,5
FTLN,15768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,510,0,41,0,1086,0,-806,15,-258,15,-3551,29,18,4,0,3,-13,1,-117,4,130,5,427,3
FTLN,16768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,510,0,41,0,1086,0,-797,22,-268,20,-3539,34,18,3,0,1,-13,0,-116,5,126,6,427,4
FTLN,17768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,510,0,41,0,1086,0,-793,29,-259,26,-3533,48,18,4,0,4,-13,1,-118,6,126,4,424,4
FTLN,18768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,510,0,42,0,1086,0,-797,21,-265,20,-3540,42,17,3,0,2,-13,1,-116,3,125,5,428,5
FTLN,19768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,510,0,42,0,1086,0,-798,16,-268,16,-3529,41,18,2,0,2,-13,1,-118,5,127,3,425,4
FTLN,20768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,511,0,43,0,1086,0,-800,19,-257,23,-3545,30,18,1,0,1,-13,0,-116,5,127,2,426,3
FTLN,21768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,510,0,43,1,1086,0,-801,17,-260,22,-3549,30,18,0,0,1,-13,0,-117,5,129,4,426,4
FTLN,22768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,510,0,88,23,1086,0,-799,16,-266,19,-3531,39,18,0,0,0,-13,0,-114,4,131,4,428,4
FTLN,23768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,510,0,97,4,1086,0,-799,15,-267,15,-3539,36,18,2,0,1,-13,0,-115,4,131,4,423,6
FTLN,24768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,510,0,101,1,1086,0,-795,19,-258,28,-3556,28,17,5,0,1,-13,1,-116,4,129,5,426,5
FTLN,25768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,510,0,95,5,1086,0,-797,18,-258,27,-3536,50,18,3,0,3,-13,1,-115,5,130,4,425,4
FTLN,26768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,510,0,90,1,1086,0,-806,49,-264,31,-3526,64,18,10,-1,12,-14,2,-118,3,129,5,424,5
FTLN,27768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,510,0,81,4,1086,0,-793,35,-271,32,-3539,79,19,13,0,7,-13,2,-118,4,128,5,424,2
FTLN,28768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,510,0,79,1,1086,0,-813,25,-260,20,-3537,59,17,10,0,4,-13,1,-117,5,127,4,423,6
FTLN,29768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,510,0,82,0,1086,0,-823,43,-266,33,-3536,66,14,9,2,7,-13,3,-117,4,126,4,426,3
FTLN,30768,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,0,0,510,0,83,0,1086,0,-819,42,-252,53,-3528,47,19,11,-1,6,-13,3,-114,4,130,7,425,3
FTLN,31768,200,1,1,10,15,41,-500,-500,-500,3008,3008,3008,180,60,510,0,82,1,1086,0,-827,103,-275,70,-3550,95,14,14,-3,18,-13,7,-114,5,129,5,426,4
FTLN,32768,200,1,1,10,15,43,-500,-500,-500,3008,3008,3008,200,0,510,0,69,11,1086,0,-793,51,-255,48,-3556,70,14,21,2,17,-12,3,-115,4,127,4,426,5
FTLN,33768,200,1,1,10,15,43,-500,-500,-500,3008,3008,3008,200,0,510,0,45,1,1086,0,-809,36,-259,16,-3538,49,17,12,0,9,-13,1,-117,4,124,3,424,2
FTLN,34768,200,1,1,10,15,45,-500,-500,-500,3008,3008,3008,200,0,510,0,54,2,1086,0,-808,32,-267,24,-3533,53,18,8,0,4,-12,2,-117,4,125,3,427,6
FTLN,35768,200,1,1,10,15,45,-500,-500,-500,3008,3008,3008,271,30,561,21,52,0,1086,0,-793,201,-250,173,-3531,274,13,35,-2,32,-15,21,-88,17,177,27,516,55
FTLN,36768,200,1,1,10,15,47,-500,-500,-500,3008,3008,3008,287,1,570,0,50,4,1086,0,-814,42,-259,25,-3525,93,18,15,1,10,-13,3,-71,4,204,6,538,3
FTLN,37768,200,1,1,10,15,47,-500,-500,-500,3008,3008,3008,331,24,572,0,43,0,1086,0,-815,37,-272,19,-3528,45,18,6,0,5,-13,1,-65,5,203,4,550,6
FTLN,38768,200,1,1,10,15,49,-500,-500,-500,3008,3008,3008,348,43,572,0,42,0,1086,0,-820,70,-274,60,-3537,93,19,4,0,7,-13,2,-60,3,202,4,549,6
FTLN,39768,200,1,1,10,15,49,-500,-500,-500,3008,3008,3008,272,1,573,0,43,0,1086,0,-864,253,-327,132,-3527,417,31,51,-1,31,-15,8,-69,3,206,3,541,6
FTLN,40768,200,1,1,10,15,51,-500,-500,-500,3008,3008,3008,272,1,572,0,43,0,1086,0,-745,273,-230,278,-3456,513,9,68,10,83,-12,19,-70,4,204,6,538,3
FTLN,41768,200,1,1,10,15,51,-500,-500,-500,3008,3008,3008,373,64,571,0,44,0,1086,0,-815,101,-252,73,-3628,255,21,28,-10,44,-13,9,-63,5,205,7,549,8
FTLN,42768,200,1,1,10,15,53,-500,-500,-500,3008,3008,3008,442,15,571,0,43,0,1086,0,-800,19,-269,21,-3546,36,17,3,0,5,-13,1,-60,3,198,2,556,4
FTLN,43768,200,1,1,10,15,53,-500,-500,-500,3008,3008,3008,462,19,571,0,43,0,1086,0,-813,24,-264,20,-3528,44,18,3,0,4,-13,1,-57,5,197,3,554,3
FTLN,44768,200,1,1,10,15,55,-500,-500,-500,3008,3008,3008,469,15,570,0,44,0,1086,0,-810,17,-268,24,-3547,24,18,2,0,1,-13,0,-60,5,199,3,557,7
FTLN,45768,200,1,1,10,15,55,-500,-500,-500,3008,3008,3008,371,75,567,2,44,1,1086,0,-808,18,-258,24,-3534,30,16,5,0,2,-13,1,-63,6,195,6,543,13
FTLN,46768,200,1,1,10,15,57,-500,-500,-500,3008,3008,3008,282,7,561,4,43,0,1086,0,-807,21,-253,32,-3542,63,17,7,0,6,-14,0,-79,6,193,8,519,8
FTLN,47768,200,1,1,10,15,57,-500,-500,-500,3008,3008,3008,261,0,548,0,44,0,1086,0,-743,191,-431,222,-3567,167,60,161,54,56,67,104,-80,7,172,11,490,5
FTLN,48768,200,1,1,10,15,59,-500,-500,-500,3008,3008,3008,264,0,550,0,44,0,1086,0,-699,335,-277,261,-3555,480,5,253,-54,115,-7,53,-84,8,159,5,495,7
