ID,timestamp_ms,year,month,day,hour,min,sec,lat_E7,lon_E7,alt_cm,lat_err_cm,lon_err_cm,alt_err_cm,volt_avg,volt_std,amp_avg,amp_std,ldr_avg,ldr_std,pres_avg_hpa,pres_std,acx_avg,acx_std,acy_avg,acy_std,acz_avg,acz_std,gyx_avg,gyx_std,gyy_avg,gyy_std,gyz_avg,gyz_std,mgx_avg,mgx_std,mgy_avg,mgy_std,mgz_avg,mgz_std
FTLN,2650,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,746,2,509,0,75,7,1087,0,-3056,346,-1485,712,-3103,305,609,133,193,255,398,495,3,14,282,24,-91,22
FTLN,3652,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,735,2,509,0,102,4,1087,0,-1880,777,-2461,445,-2257,966,61,355,381,458,-35,178,91,15,231,27,-124,10
FTLN,4792,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,737,1,509,0,101,1,1087,0,-1369,583,-2064,608,-3404,787,0,253,-2,227,-77,218,52,15,149,8,-157,4
FTLN,5792,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,737,0,509,0,100,1,1087,0,-971,460,-2070,633,-3456,837,-107,234,-20,282,-25,208,49,8,136,12,-155,3
FTLN,6792,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,740,1,508,0,97,2,1087,0,-1199,298,-1957,572,-3464,888,-26,178,-119,289,-109,158,39,9,159,12,-156,7
FTLN,7792,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,740,1,509,0,96,1,1087,0,-1253,448,-2076,497,-3445,844,31,185,108,193,13,160,42,9,180,9,-152,7
FTLN,8792,20-1,-1,-1,-1,-1,-1,-500,-500,-500,3008,3008,3008,739,0,509,0,98,1,1087,0,-1210,282,-2116,625,-3437,662,9,206,-73,264,24,213,44,7,156,12,-153,5
FTLN,9792,200,1,1,7,45,7,-500,-500,-500,3008,3008,3008,741,0,509,0,94,1,1087,0,-1658,461,-2312,604,-3015,890,-33,222,-30,209,-26,196,43,4,183,6,-148,5
FTLN,10792,200,1,1,7,45,8,-500,-500,-500,3008,3008,3008,747,2,509,0,79,6,1087,0,-2094,660,-1942,305,-3089,450,-413,134,-382,223,-625,256,31,8,247,37,-116,20
FTLN,11792,200,1,1,7,45,9,-500,-500,-500,3008,3008,3008,749,0,509,0,78,3,1087,0,-1660,412,-1296,343,-3712,465,-69,261,-135,287,-51,413,50,11,327,16,-51,18
FTLN,12792,200,1,1,7,45,10,-500,-500,-500,3008,3008,3008,749,0,509,0,78,6,1087,0,-1443,667,-1431,324,-3600,368,-113,97,130,322,-31,117,27,4,313,16,-66,19
FTLN,13792,200,1,1,7,45,11,-500,-500,-500,3008,3008,3008,749,0,509,0,81,2,1087,0,-1829,239,-1078,117,-3686,239,84,84,-126,123,178,42,5,11,314,7,-64,10
FTLN,14804,200,1,1,7,45,12,-500,-500,-500,3008,3008,3008,750,0,509,0,74,1,1087,0,-2068,209,-1155,59,-3493,115,-20,35,-10,132,-65,43,-7,3,320,6,-56,6
FTLN,15804,200,1,1,7,45,13,-500,-500,-500,3008,3008,3008,750,0,509,0,73,1,1087,0,-1965,126,-1247,36,-3450,91,53,46,-18,72,-5,63,0,7,327,6,-51,5
FTLN,16804,200,1,1,7,45,14,-500,-500,-500,3008,3008,3008,750,0,509,0,64,3,1087,0,-2179,131,-1468,303,-3180,368,218,96,-21,95,87,52,15,9,328,5,-46,2
FTLN,17804,200,1,1,7,45,15,-500,-500,-500,3008,3008,3008,750,0,509,0,62,0,1087,0,-2211,386,-1833,406,-3068,267,61,112,40,131,86,46,20,8,317,6,-62,5
